title,claimed_tmdb_id,found_tmdb_id,found_title,status
Iron Man,1726,1726,Iron Man,OK
The Incredible Hulk,1724,1724,The Incredible Hulk,OK
Iron Man 2,10138,10138,Iron Man 2,OK
Thor,10195,10195,Thor,OK
Captain America: The First Avenger,1771,1771,Captain America: The First Avenger,OK
The Avengers,24428,24428,The Avengers,OK
Iron Man 3,68721,68721,Iron Man 3,OK
Thor: The Dark World,76338,76338,Thor: The Dark World,OK
Captain America: The Winter Soldier,100402,100402,Captain America: The Winter Soldier,OK
Guardians of the Galaxy,118340,118340,Guardians of the Galaxy,OK
Avengers: Age of Ultron,99861,99861,Avengers: Age of Ultron,OK
Ant-Man,102899,102899,Ant-Man,OK
Captain America: Civil War,271110,271110,Captain America: Civil War,OK
Doctor Strange,284052,284052,Doctor Strange,OK
Guardians of the Galaxy Vol. 2,283995,283995,Guardians of the Galaxy Vol. 2,OK
Spider-Man: Homecoming,315635,315635,Spider-Man: Homecoming,OK
Thor: Ragnarok,284053,284053,Thor: Ragnarok,OK
Black Panther,284054,284054,Black Panther,OK
Avengers: Infinity War,299536,299536,Avengers: Infinity War,OK
Ant-Man and the Wasp,363088,363088,Ant-Man and the Wasp,OK
Captain Marvel,299537,299537,Captain Marvel,OK
Avengers: Endgame,299534,299534,Avengers: Endgame,OK
Spider-Man: Far From Home,429617,429617,Spider-Man: Far From Home,OK
Black Widow,497698,497698,Black Widow,OK
Shang-Chi and the Legend of the Ten Rings,566525,566525,Shang-Chi and the Legend of the Ten Rings,OK
Eternals,524434,524434,Eternals,OK
Spider-Man: No Way Home,634649,634649,Spider-Man: No Way Home,OK
Doctor Strange in the Multiverse of Madness,453395,453395,Doctor Strange in the Multiverse of Madness,OK
Thor: Love and Thunder,616037,616037,Thor: Love and Thunder,OK
Black Panther: Wakanda Forever,505642,505642,Black Panther: Wakanda Forever,OK
Ant-Man and the Wasp: Quantumania,640146,640146,Ant-Man and the Wasp: Quantumania,OK
Guardians of the Galaxy Vol. 3,447365,447365,Guardians of the Galaxy Vol. 3,OK
The Marvels,609681,609681,The Marvels,OK
Deadpool & Wolverine,533535,533535,Deadpool & Wolverine,OK
Captain America: Brave New World,822119,822119,Captain America: Brave New World,OK
Thunderbolts*,986056,986056,Thunderbolts*,OK
